4	Vijeo-Designer Language Export
ID	Francais	Русский	Location
900	Presse en\nrefroidissement	Пресс\nохлаждается	\Graphical Panels\Base Panels\Ecran20\Texte03
899	Presse en\nrefroidissement	Пресс\nохлаждается	\Graphical Panels\Base Panels\Ecran10\Texte03
898	Presse\nen chauffage	Пресс\nнагревается	\Graphical Panels\Base Panels\Ecran10\Texte02
897	< Min	< Min	\Graphical Panels\Base Panels\Ecran10\Texte12
896	Min-Max	Min-Max	\Graphical Panels\Base Panels\Ecran10\Texte13
914	Batterie 2	Батарея 2	\Graphical Panels\Base Panels\Ecran20\Texte15
913	Batterie 3	Батарея 3	\Graphical Panels\Base Panels\Ecran20\Texte03
912	Batterie 4	Батарея 4	\Graphical Panels\Base Panels\Ecran20\Texte02
916	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran1\Commutateur08
928	Presse en\nrefroidissement	Пресс\nохлаждается	\Graphical Panels\Base Panels\Ecran30\Texte03
929	Presse\nen chauffage	Пресс\nнагревается	\Graphical Panels\Base Panels\Ecran30\Texte02
930	Presse en chargement:	Загрузка пресса:	\Graphical Panels\Base Panels\Ecran10\Texte02
932	Avant	Передняя	\Graphical Panels\Base Panels\Ecran10\Commutateur02\Label\Off
933	Arriere	Задняя	\Graphical Panels\Base Panels\Ecran10\Commutateur02\Label\On
934	< Min	< Min	\Graphical Panels\Base Panels\Ecran30\Texte12
935	Min-Max	Min-Max	\Graphical Panels\Base Panels\Ecran30\Texte13
936	> Max	> Max	\Graphical Panels\Base Panels\Ecran30\Texte14
940	Mes. - Cons.:	Изм. - Уст.:	\Graphical Panels\Base Panels\Ecran80\Texte23
943	Cons. <min.:	Уст. <min.:	\Graphical Panels\Base Panels\Ecran80\Texte01
946	Cons. min.:	Уст. min.:	\Graphical Panels\Base Panels\Ecran80\Texte02
949	Cons. max.:	Уст. max.:	\Graphical Panels\Base Panels\Ecran80\Texte03
952	Cons. >max.:	Уст. >max.:	\Graphical Panels\Base Panels\Ecran80\Texte04
953	Valeur régulation pression	Значения регулирования прессования	\Graphical Panels\Base Panels\Ecran80\Texte01
954	Matériel dans la presse bras 2	Материал в прессе, корзина 2	\Graphical Panels\Base Panels\Ecran10\Texte04
955	Matériel dans la presse bras 1	Материал в прессе, корзина 1	\Graphical Panels\Base Panels\Ecran10\Texte03
956	Corbeille libre pour poussior	Корзина свободна для загрузки	\Graphical Panels\Base Panels\Ecran10\Texte41
957	Reset	Reset	\Graphical Panels\Base Panels\Ecran10\Commutateur07
961	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran10\Commutateur08
962	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran20\Commutateur08
963	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran30\Commutateur08
964	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran40\Commutateur08
966	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran61\Commutateur08
968	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran62\Commutateur08
969	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran70\Commutateur08
970	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran80\Commutateur08
971	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran90\Commutateur08
972	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran91\Commutateur08
973	Start	Запуск	\Graphical Panels\Base Panels\Ecran40\Commutateur04\Label\Off
974	Stop	Стоп	\Graphical Panels\Base Panels\Ecran40\Commutateur04\Label\On
977	Start	Запуск	\Graphical Panels\Base Panels\Ecran40\Commutateur03\Label\Off
978	Stop	Стоп	\Graphical Panels\Base Panels\Ecran40\Commutateur03\Label\On
983	Set	Set	\Graphical Panels\Base Panels\Ecran40\Commutateur07\Label\Off
984	Reset	Reset	\Graphical Panels\Base Panels\Ecran40\Commutateur07\Label\On
985	Set	Set	\Graphical Panels\Base Panels\Ecran40\Commutateur02\Label\Off
986	Reset	Reset	\Graphical Panels\Base Panels\Ecran40\Commutateur02\Label\On
987	Set	Set	\Graphical Panels\Base Panels\Ecran40\Commutateur05\Label\Off
988	Reset	Reset	\Graphical Panels\Base Panels\Ecran40\Commutateur05\Label\On
989	Set	Set	\Graphical Panels\Base Panels\Ecran40\Commutateur07\Label\Off
990	Reset	Reset	\Graphical Panels\Base Panels\Ecran40\Commutateur07\Label\On
995	Avant	Передняя	\Graphical Panels\Base Panels\Ecran40\Commutateur03\Label\Off
996	Arriere	Задняя	\Graphical Panels\Base Panels\Ecran40\Commutateur03\Label\On
997	Presse en chargement:	Загрузка пресса:	\Graphical Panels\Base Panels\Ecran40\Texte13
998	Aspiration Presse:	Продувка пресса:	\Graphical Panels\Base Panels\Ecran40\Texte22
999	Aspiration Presse:	Продувка пресса:	\Graphical Panels\Base Panels\Ecran20\Texte22
1000	Start	Запуск	\Graphical Panels\Base Panels\Ecran20\Commutateur04\Label\Off
1001	Stop	Стоп	\Graphical Panels\Base Panels\Ecran20\Commutateur04\Label\On
1002	Pression atteinte:	Ожидание прессования:	\Graphical Panels\Base Panels\Ecran40\Texte01
1003	Corbeille libre \npour poussoir:	Корзина свободна\nдля загрузки:	\Graphical Panels\Base Panels\Ecran40\Texte03
1004	Matériel dans la presse bras 1:	Материал в прессе, корзина 1:	\Graphical Panels\Base Panels\Ecran40\Texte05
1005	Matériel dans la presse bras 2:	Материал в прессе, корзина 2:	\Graphical Panels\Base Panels\Ecran40\Texte11
1006	Marche arrière chargement lift:	Запуск заднего лифта:	\Graphical Panels\Base Panels\Ecran40\Texte07
1007	Pression atteinte:	Ожидание прессования:	\Graphical Panels\Base Panels\Ecran30\Texte01
1019	sec	сек	\Graphical Panels\Popup Windows\PID_1\Texte01
1018	sec	сек	\Graphical Panels\Popup Windows\PID_1\Texte14
1008	Set	Set	\Graphical Panels\Base Panels\Ecran30\Commutateur07\Label\Off
1009	Reset	Reset	\Graphical Panels\Base Panels\Ecran30\Commutateur07\Label\On
1010	Presse en chargement avant	Пресс на передней загрузке	\Graphical Panels\Base Panels\Ecran40\Texte06
1011	Presse en chargement arrière	Пресс на задней загрузке	\Graphical Panels\Base Panels\Ecran40\Texte01
1012	Plateaux à charger:	Плит загружено:	\Graphical Panels\Base Panels\Ecran40\Texte09
1013	Plateaux à décharger:	Плит выгружено:	\Graphical Panels\Base Panels\Ecran40\Texte10
1039	Kp	Kp	\Graphical Panels\Popup Windows\PID_2\Texte03
1038	Kd	Kd	\Graphical Panels\Popup Windows\PID_2\Texte02
1031	sec	сек	\Graphical Panels\Popup Windows\PID_2\Texte01
1030	sec	сек	\Graphical Panels\Popup Windows\PID_2\Texte14
1029	PID 1	PID 1	\Graphical Panels\Popup Windows\PID_1\Texte02
1028	Ki	Ki	\Graphical Panels\Popup Windows\PID_1\Texte04
1027	Kp	Kp	\Graphical Panels\Popup Windows\PID_1\Texte03
1026	Kd	Kd	\Graphical Panels\Popup Windows\PID_1\Texte02
1055			\Resource Library\Text\RessourceTexte001\State\Invalid
1054	Commande en:	Режим работы:	\Graphical Panels\Base Panels\Ecran40\Texte08
1051	Recherche	Поиск	\Graphical Panels\Base Panels\Ecran40\Commutateur06\Label\On
1050	Trouvé	Найдено	\Graphical Panels\Base Panels\Ecran40\Commutateur06\Label\Off
1049	Position initiale:	Начальное положение:	\Graphical Panels\Base Panels\Ecran40\Texte04
1048	Programme numéro:	Номер программы:	\Graphical Panels\Base Panels\Ecran40\Texte07
1047	Position du pont:	Положение:	\Graphical Panels\Base Panels\Ecran40\Texte12
1042	Pont à ventouse	Вакуумный манипулятор	\Graphical Panels\Base Panels\Ecran40\Texte02
1041	PID 2	PID 2	\Graphical Panels\Popup Windows\PID_2\Texte02
1040	Ki	Ki	\Graphical Panels\Popup Windows\PID_2\Texte04
1070	CMD Pont à ventouse en manu	Ручное управление манипулятором	\Graphical Panels\Base Panels\Ecran40\Texte02
1058	Auto	Авто.	\Resource Library\Text\RessourceTexte001\State\2
1057	PAS A PAS	Пошаговый	\Resource Library\Text\RessourceTexte001\State\1
1056	MANUEL	Ручной	\Resource Library\Text\RessourceTexte001\State\0
1087	Etat de la pince:	Состояние присосок:	\Graphical Panels\Base Panels\Ecran40\Texte12
1086	AIR	Вкл	\Graphical Panels\Base Panels\Ecran40\Commutateur10\Label\On
1085	VIDE	VIDE	\Graphical Panels\Base Panels\Ecran40\Commutateur10\Label\Off
1084	Pont en position:	Положение:	\Graphical Panels\Base Panels\Ecran40\Texte08
1083	UP	Верх	\Graphical Panels\Base Panels\Ecran40\Commutateur09\Label\On
1082	DOWN	Низ	\Graphical Panels\Base Panels\Ecran40\Commutateur09\Label\Off
1081	Translation à gauche en:	Движение влево:	\Graphical Panels\Base Panels\Ecran40\Texte04
1080	Stop	Стоп	\Graphical Panels\Base Panels\Ecran40\Commutateur06\Label\On
1079	Start	Запуск	\Graphical Panels\Base Panels\Ecran40\Commutateur06\Label\Off
1074	Stop	Стоп	\Graphical Panels\Base Panels\Ecran40\Commutateur08\Label\On
1073	Start	Запуск	\Graphical Panels\Base Panels\Ecran40\Commutateur08\Label\Off
1088	Translation à droite:	Движение вправо:	\Graphical Panels\Base Panels\Ecran40\Texte13
1135	Alarmes	Сообщения	\Graphical Panels\Base Panels\Ecran60\Commutateur01
1133	FR >>	FR >>	\Graphical Panels\Base Panels\Ecran60\Text05
1132	<< NL	<< NL	\Graphical Panels\Base Panels\Ecran60\Text05
1130	24:00:00	24:00:00	\Graphical Panels\Base Panels\Ecran60\Text13
1128	mm/dd/yyyy	мм/дд/гггг	\Graphical Panels\Base Panels\Ecran60\Text13
1151	Général	Общее	\Graphical Panels\Base Panels\Ecran60\Commutateur05
1150	T_Plat15	Т_Плита15	\Graphical Panels\Base Panels\Ecran60\Texte03
1149	T_Plat19	Т_Плита19	\Graphical Panels\Base Panels\Ecran60\Texte04
1148	T_Plat1	Т_Плита1	\Graphical Panels\Base Panels\Ecran60\Texte01
1147	T_Plat5	Т_Плита5	\Graphical Panels\Base Panels\Ecran60\Texte02
1146	C_Pres	Уст_Давл	\Graphical Panels\Base Panels\Ecran60\Texte05
1145	M_Pres	Изм_Давл	\Graphical Panels\Base Panels\Ecran60\Texte06
1144	T_Huile	Т_Масло	\Graphical Panels\Base Panels\Ecran60\Texte08
1143	C_Temp	Уст_Темп	\Graphical Panels\Base Panels\Ecran60\Texte07
1142	Températur	Температура	\Graphical Panels\Base Panels\Ecran60\Commutateur03
1141	Maxxtec	Maxxtec	\Graphical Panels\Base Panels\Ecran60\Commutateur07
1140	Pressure	Давление	\Graphical Panels\Base Panels\Ecran60\Commutateur08
1139	Temperatur	Температура	\Graphical Panels\Base Panels\Ecran60\Commutateur07
1138	Configuration	Конфигурация	\Graphical Panels\Base Panels\Ecran60\Commutateur04
1137	E-Stops	Аварийные остановки	\Graphical Panels\Base Panels\Ecran60\Commutateur07
1136	Trend	Тренд	\Graphical Panels\Base Panels\Ecran60\Commutateur06
1167	Valeur régulation pression	Значения регулирования прессования	\Graphical Panels\Popup Windows\Val_Regul_Pres\Texte02
1166	C_Temp	Уст_Темп	\Graphical Panels\Base Panels\Ecran62\Texte07
1165	T_Huile	Т_Масло	\Graphical Panels\Base Panels\Ecran62\Texte08
1164	M_Pres	Изм_Давл	\Graphical Panels\Base Panels\Ecran62\Texte06
1163	C_Pres	Уст_Давл	\Graphical Panels\Base Panels\Ecran62\Texte05
1162	T_Plat5	Т_Плита5	\Graphical Panels\Base Panels\Ecran62\Texte02
1161	T_Plat1	Т_Плита1	\Graphical Panels\Base Panels\Ecran62\Texte01
1160	T_Plat19	Т_Плита19	\Graphical Panels\Base Panels\Ecran62\Texte04
1159	T_Plat15	Т_Плита15	\Graphical Panels\Base Panels\Ecran62\Texte03
1158	Températur	Температура	\Graphical Panels\Base Panels\Ecran61\Commutateur03
1157	Général	Общее	\Graphical Panels\Base Panels\Ecran61\Commutateur05
1154	Pression	Давление	\Graphical Panels\Base Panels\Ecran60\Commutateur04
1153	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran60\Commutateur08
1152	Presse	Пресс	\Graphical Panels\Base Panels\Ecran60\Commutateur07
1182	Mes. - Cons.:	Изм. - Уст.:	\Graphical Panels\Popup Windows\Val_Regul_Pres\Texte23
1179	Cons. <min.:	Уст. <min.:	\Graphical Panels\Popup Windows\Val_Regul_Pres\Texte01
1176	Cons. min.:	Уст. min.:	\Graphical Panels\Popup Windows\Val_Regul_Pres\Texte02
1173	Cons. max.:	Уст. max.:	\Graphical Panels\Popup Windows\Val_Regul_Pres\Texte03
1170	Cons. >max.:	Уст. >max.:	\Graphical Panels\Popup Windows\Val_Regul_Pres\Texte04
1231	0	0	\Graphical Panels\Popup Windows\PID_1_Huile\Texte05
1230	%	%	\Graphical Panels\Popup Windows\PID_1_Huile\Texte14
1229	100,0	100,0	\Graphical Panels\Popup Windows\PID_1_Huile\Texte13
1228	0	0	\Graphical Panels\Popup Windows\PID_1_Huile\Texte12
1227	°c	°c	\Graphical Panels\Popup Windows\PID_1_Huile\Texte04
1226	300,0	300,0	\Graphical Panels\Popup Windows\PID_1_Huile\Texte03
1225	0	0	\Graphical Panels\Popup Windows\PID_1_Huile\Texte02
1223	Regulateur Huile PID 1	Регулятор масла PID 1	\Graphical Panels\Popup Windows\PID_1_Huile\Texte01
1246	Auto	Авто.	\Graphical Panels\Popup Windows\PID_1_Huile\Commutateur01\Label\On
1245	Manu	Руч.	\Graphical Panels\Popup Windows\PID_1_Huile\Commutateur01\Label\Off
1244	Ki	Ki	\Graphical Panels\Popup Windows\PID_1_Huile\Texte04
1243	Kp	Kp	\Graphical Panels\Popup Windows\PID_1_Huile\Texte03
1242	Kd	Kd	\Graphical Panels\Popup Windows\PID_1_Huile\Texte02
1235	sec	сек	\Graphical Panels\Popup Windows\PID_1_Huile\Texte06
1234	sec	сек	\Graphical Panels\Popup Windows\PID_1_Huile\Texte05
1233	°c	°c	\Graphical Panels\Popup Windows\PID_1_Huile\Texte07
1232	300,0	300,0	\Graphical Panels\Popup Windows\PID_1_Huile\Texte06
1261	sec	сек	\Graphical Panels\Popup Windows\PID_2_Huile\Texte06
1260	sec	сек	\Graphical Panels\Popup Windows\PID_2_Huile\Texte05
1259	°c	°c	\Graphical Panels\Popup Windows\PID_2_Huile\Texte07
1258	300,0	300,0	\Graphical Panels\Popup Windows\PID_2_Huile\Texte06
1257	0	0	\Graphical Panels\Popup Windows\PID_2_Huile\Texte05
1256	%	%	\Graphical Panels\Popup Windows\PID_2_Huile\Texte14
1255	100,0	100,0	\Graphical Panels\Popup Windows\PID_2_Huile\Texte13
1254	0	0	\Graphical Panels\Popup Windows\PID_2_Huile\Texte12
1253	°c	°c	\Graphical Panels\Popup Windows\PID_2_Huile\Texte04
1252	300,0	300,0	\Graphical Panels\Popup Windows\PID_2_Huile\Texte03
1251	0	0	\Graphical Panels\Popup Windows\PID_2_Huile\Texte02
1249	Regulateur Huile PID 2	Регулятор масла PID 2	\Graphical Panels\Popup Windows\PID_2_Huile\Texte01
1279	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1278	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1277	Compare Mismatch	Нет совпадения	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1276	Compare Match	Совпадение	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1275	Error	Ошибка	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1274	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1273	Idle	Ожидание	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1270	Ki	Ki	\Graphical Panels\Popup Windows\PID_2_Huile\Texte04
1269	Kp	Kp	\Graphical Panels\Popup Windows\PID_2_Huile\Texte03
1268	Kd	Kd	\Graphical Panels\Popup Windows\PID_2_Huile\Texte02
1295	Insufficient Disk Space	Мало места на диске	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1294	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1293	Invalid Operation	Некорректная операция	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1292	Operation Locked	Операция недоступна	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1291	Invalid Recipe	Некорректный рецепт	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1290	Invalid Recipe Group	Некорректная группа рецептов	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1289	Communication Error	Ошибка связи	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1288	No Error	Нет ошибок	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1287	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1286	Comparing	Сравнение	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1285	Saving	Сохранение	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1284	Loading	Загрузка	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1283	Receiving	Получение	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1282	Sending	Отправка	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1281	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1280	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Temp\TextStatus
1299	Unknown Error	Неизвестная ошибка	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1298	Denied - Maintenance Mode	Запрет - Режим обслуживания	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1297	Invalid Access Right	Некорректный уровень доступа	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1296	Invalid File	Некорректный файл	\Graphical Panels\Popup Windows\Recettes_Temp\TextError
1332	> max.:	> max.:	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte04
1335	Min. - Max.:	Min. - Max.:	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte02
1338	< min.:	< min.:	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte01
1341	Hystérèse:	Гистерезис:	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte23
1344	Hystérèse:	Гистерезис:	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte05
1347	Ouverture presse:	Открытие пресса:	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte08
1350	Arret pompe BP:	Стоп насоса НД:	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte07
1351	Honeywell	Honeywell	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Commutateur03\Label\Off
1352	Vijeo	Vijeo	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Commutateur03\Label\On
1353	Système de régulation sur:	Источник управления:	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte06
1354	Parramètre régulation pression	Параметры управления давлением	\Graphical Panels\Popup Windows\Parra_Reg_Pression\Texte03
1355	Parramètre régulation pression	Параметры управления давлением	\Graphical Panels\Base Panels\Ecran80\Texte01
1356	Parramètre pont à ventouse	Параметры вакуумного манипулятора	\Graphical Panels\Base Panels\Ecran80\Texte02
1357	Parramètre pont à ventouse	Параметры вакуумного манипулятора	\Graphical Panels\Popup Windows\Parra_Pont_Ventouse\Texte03
1358	Hyst déchergement:	Точность перемещения	\Graphical Panels\Popup Windows\Parra_Pont_Ventouse\Texte07
1361	Position pont:	Положение:	\Graphical Panels\Popup Windows\Parra_Pont_Ventouse\Texte08
1364	Arret garage:	Остановка в гараже:	\Graphical Panels\Popup Windows\Parra_Pont_Ventouse\Texte23
1367	Arret déchargement:	Овтановка разгрузки:	\Graphical Panels\Popup Windows\Parra_Pont_Ventouse\Texte04
1370	Arret chargement:	Остановка загрузки:	\Graphical Panels\Popup Windows\Parra_Pont_Ventouse\Texte05
1373	Petite vit. 1:	Малая скорость 1:	\Graphical Panels\Popup Windows\Parra_Pont_Ventouse\Texte06
1376	Parramètre PID 2 Huile	Параметры PID 2 масла	\Graphical Panels\Base Panels\Ecran80\Texte02
1377	Parramètre PID 1 Huile	Параметры PID 1 масла	\Graphical Panels\Base Panels\Ecran80\Texte01
1378	Manu	Руч.	\Graphical Panels\Popup Windows\PID_2_Huile\Commutateur01\Label\Off
1379	Auto	Авто.	\Graphical Panels\Popup Windows\PID_2_Huile\Commutateur01\Label\On
1382	Idle	Ожидание	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1383	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1384	Error	Ошибка	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1385	Compare Match	Совпадение	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1386	Compare Mismatch	Нет совпадения	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1387	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1388	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1389	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1390	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1391	Sending	Отправка	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1392	Receiving	Получение	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1393	Loading	Загрузка	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1394	Saving	Сохранение	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1395	Comparing	Сравнение	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1396	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Pres\TextStatus
1397	No Error	Нет ошибок	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1398	Communication Error	Ошибка связи	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1399	Invalid Recipe Group	Некорректная группа рецептов	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1400	Invalid Recipe	Некорректный рецепт	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1401	Operation Locked	Операция недоступна	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1402	Invalid Operation	Некорректная операция	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1403	Busy	В работе	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1404	Insufficient Disk Space	Мало места на диске	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1405	Invalid File	Некорректный файл	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1406	Invalid Access Right	Некорректный уровень доступа	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1407	Denied - Maintenance Mode	Запрет - Режим обслуживания	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1408	Unknown Error	Неизвестная ошибка	\Graphical Panels\Popup Windows\Recettes_Pres\TextError
1418	Recipes	Recipes	\Graphical Panels\Base Panels\Ecran20\Text01
1420	Idle	Ожидание	\Graphical Panels\Base Panels\Ecran20\TextStatus
1421	Busy	В работе	\Graphical Panels\Base Panels\Ecran20\TextStatus
1422	Error	Ошибка	\Graphical Panels\Base Panels\Ecran20\TextStatus
1423	Compare Match	Совпадение	\Graphical Panels\Base Panels\Ecran20\TextStatus
1424	Compare Mismatch	Нет совпадения	\Graphical Panels\Base Panels\Ecran20\TextStatus
1425	Busy	В работе	\Graphical Panels\Base Panels\Ecran20\TextStatus
1426	Busy	В работе	\Graphical Panels\Base Panels\Ecran20\TextStatus
1427	Busy	В работе	\Graphical Panels\Base Panels\Ecran20\TextStatus
1428	Busy	В работе	\Graphical Panels\Base Panels\Ecran20\TextStatus
1429	Sending	Отправка	\Graphical Panels\Base Panels\Ecran20\TextStatus
1430	Receiving	Получение	\Graphical Panels\Base Panels\Ecran20\TextStatus
1431	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran20\TextStatus
1432	Saving	Сохранение	\Graphical Panels\Base Panels\Ecran20\TextStatus
1433	Comparing	Сравнение	\Graphical Panels\Base Panels\Ecran20\TextStatus
1434	Busy	В работе	\Graphical Panels\Base Panels\Ecran20\TextStatus
1535	Recipes	Recipes	\Graphical Panels\Popup Windows\Recettes_Temp\Text01
1537	Recette	Recipe	\Graphical Panels\Popup Windows\Recettes_Temp\Texte01
1538	Programme régulation Température	Temperature regulation program	\Graphical Panels\Popup Windows\Recettes_Temp\Texte02
1539	Recipes	Recipes	\Graphical Panels\Popup Windows\Recettes_Pres\Text01
1541	Recette	Recipe	\Graphical Panels\Popup Windows\Recettes_Pres\Texte01
1542	Programme régulation Pression	Pressure regulation program	\Graphical Panels\Popup Windows\Recettes_Pres\Texte02
1543	Batterie 1	Батарея 1	\Graphical Panels\Base Panels\Ecran10\Texte16
1544	Batterie 7	Батарея 7	\Graphical Panels\Base Panels\Ecran10\Texte14
1545	Batterie 6	Батарея 6	\Graphical Panels\Base Panels\Ecran10\Texte04
1546	Batterie 5	Батарея 5	\Graphical Panels\Base Panels\Ecran10\Texte12
1547	Batterie 4	Батарея 4	\Graphical Panels\Base Panels\Ecran10\Texte02
1548	Batterie 3	Батарея 3	\Graphical Panels\Base Panels\Ecran10\Texte03
1549	Batterie 2	Батарея 2	\Graphical Panels\Base Panels\Ecran10\Texte15
1577	RAZ	В 0	\Graphical Panels\Base Panels\Ecran20\Commutateur06
1578	HOLD	Удерж	\Graphical Panels\Base Panels\Ecran20\Commutateur05
1579	RUN	RUN	\Graphical Panels\Base Panels\Ecran20\Commutateur04
1605	Create New	Создать новый	\Graphical Panels\Popup Windows\Recettes\CreateNewRecipe\CreateNewButtonText
1604	Create New	Создать новый	\Graphical Panels\Popup Windows\Recettes\Text06
1626	Idle	Ожидание	\Graphical Panels\Base Panels\Ecran30\TextStatus
1627	Busy	В работе	\Graphical Panels\Base Panels\Ecran30\TextStatus
1628	Error	Ошибка	\Graphical Panels\Base Panels\Ecran30\TextStatus
1629	Compare Match	Совпадение	\Graphical Panels\Base Panels\Ecran30\TextStatus
1630	Compare Mismatch	Нет совпадения	\Graphical Panels\Base Panels\Ecran30\TextStatus
1631	Busy	В работе	\Graphical Panels\Base Panels\Ecran30\TextStatus
1632	Busy	В работе	\Graphical Panels\Base Panels\Ecran30\TextStatus
1633	Busy	В работе	\Graphical Panels\Base Panels\Ecran30\TextStatus
1634	Busy	В работе	\Graphical Panels\Base Panels\Ecran30\TextStatus
1635	Sending	Отправка	\Graphical Panels\Base Panels\Ecran30\TextStatus
1636	Receiving	Получение	\Graphical Panels\Base Panels\Ecran30\TextStatus
1637	Loading	Загрузка	\Graphical Panels\Base Panels\Ecran30\TextStatus
1638	Saving	Сохранение	\Graphical Panels\Base Panels\Ecran30\TextStatus
1639	Comparing	Сравнение	\Graphical Panels\Base Panels\Ecran30\TextStatus
1640	Busy	В работе	\Graphical Panels\Base Panels\Ecran30\TextStatus
1641	Recipes	Recipes	\Graphical Panels\Base Panels\Ecran30\Text01
1643	RAZ	В 0	\Graphical Panels\Base Panels\Ecran30\Commutateur06
1644	HOLD	Удерж	\Graphical Panels\Base Panels\Ecran30\Commutateur05
1645	RUN	RUN	\Graphical Panels\Base Panels\Ecran30\Commutateur04
1646			\Resource Library\Text\RessourceTexte002\State\Invalid
1647	Segment 1	Сегмент 1	\Resource Library\Text\RessourceTexte002\State\0
1648	Segment 2	Сегмент 2	\Resource Library\Text\RessourceTexte002\State\1
1649	Segment 3	Сегмент 3	\Resource Library\Text\RessourceTexte002\State\2
1650	Segment 4	Сегмент 4	\Resource Library\Text\RessourceTexte002\State\3
1651	Segment 5	Сегмент 5	\Resource Library\Text\RessourceTexte002\State\4
1678	Pression\nProgramme	Программа\nдавления	\Graphical Panels\Base Panels\Ecran80\Commutateur03
1691	OFF	Выкл	\Graphical Panels\Popup Windows\Program_Pression\Texte11
1690	ON	Вкл	\Graphical Panels\Popup Windows\Program_Pression\Texte10
